order,prompt,jot_field,target,field_name,,plant_num
3,Are you currently certified by the OU?,OUcertified,main,OUcertified,,
5,What would you like to do?,whatWould,main,whatWould,,
7,Have you ever had kosher certification?,everCertified,main,everCertified,,
8,HS Record ID (office use only),HSRecordID,,,,
9,What agency were you certified by?,agencyName,main,agencyName,,
12,Company Name,companyName,main,companyName,,
14,Company Street Address,street1,main,companyAddress,,
15,Company Address Line 2,street2,main,companyAddress2,,
16,Company City,companyCity,main,companyCity,,
17,Company Country,companyCountry,main,companyCountry,,
18,Company State,companyState,main,companyState,,
19,Company Province,companyProvince,main,companyProvince,,
20,Company Region,companyRegion,main,companyRegion,,
21,Company Zip/Postal Code,ZipPostalCode,main,ZipPostalCode,,
22,Company Phone,companyPhone,main,companyPhone,,
23,Company Website,companyWebsite,main,companyWebsite,,
26,Company Contact Name,contactFirst,main,contactFirst,,
26,Company Contact Name,contactLast,main,contactLast,,
27,Company Contact Phone,companyContact29,main,contactPhone,,
28,Company Contact Email Address,companyContact9,main,contactEmail,,
29,Billing Contact (person receiving invoices),billingContact,main,billingContact,,
30,Billing Contact Name,contactFirst,main,billingContactFirst,,
30,Billing Contact Name,contactLast,main,billingContactLast,,
31,Billing Contact Phone,billingPhone,main,billingContactPhone,,
32,Billing Contact Email,billingEmail,main,billingContactEmail,,
33,Are there additional contacts?,areThere,,,,
34,Additional Company Contact Info,contactFirst,main,contactFirst1,,
34,Additional Company Contact Info,contactLast,main,contactLast1,,
35,Job Title,jobTitle,main,jobTitle1,,
36,Phone,additionalPhone,main,contactPhone1,,
37,Email,additionalEmail,main,contactEmial1,,
38,Which category would your product(s) fall under?,whichCategory,main,whichCategory,,
39,Where did you hear about OU Kosher?,whereDid284,main,whereDidHear,,
40,Please specify where you heard about OU Kosher,pleaseSpecify,main,pleaseSpecify,,
41,"Are you producing a product under your own brand, as a Copacker for another company, or both?",areYou,main,copack,,
42,Do you want to be listed in the OU Copacker Directory?,doYou43,main,listInCopack,,
43,Would you like an ISO accredited vegan certification for any of these products?,wouldYou,main,veganCert,,
44,How many plants are included in this application?,howMany,main,numberOfPlants,,
47,Plant #1 Location,typeA,,,,
48,Plant1 Name,plant1Name,plant,plantName,,1
49,Plant1 Street Address,plant1Address,plant,plantAddress,,1
50,Plant1 Address Line 2,plant1Address2,plant,plantAddress2,,1
51,Plant1 City,plant1City,plant,plantCity,,1
52,Plant1 Country,plant1Country,plant,plantCountry,,1
53,Plant1 State,state116,plant,plantState,,1
54,Plant1 Province,province305,plant,plantProvince,,1
55,Plant1 Region,region306,plant,plantRegion,,1
56,Plant1 Zip / Postal Code,plant1Zip,plant,plantZip,,1
58,Plant #1 Contact,plant155,,,,1
59,Plant1 Contact Name,contactFirst,plant,contactFirst,,1
